surface,page/task,legacy design,current design,classification,reason,model-evolution-related?,legacy UX advantage,current UX advantage,future reference note
Admin,全局信息架构,"单页侧栏按平台治理、组织运营、租户运营分组，所有入口同时可见","按业务/技术模式和当前活动上下文组织区域，并由真实组件承载",MIXED,"旧版总览密度高；现行版更符合上下文和能力边界",YES,"全局可发现性强","上下文隔离更清楚","保留分组导航与当前上下文提示的组合"
Admin,业务与技术模式,"主要依赖角色演示器改变可见项","明确 business/technical 两种工作模式并限制区域",CURRENT_STRONGER,"现行版减少平台治理能力与日常赛事运营混杂",YES,"角色演示直观","模式边界清晰","模式切换应继续显示当前范围"
Admin,上下文选择,"租户选择器和进入赛事按钮明显","租户/活动上下文由现行工作区与活动选择器控制",MIXED,"两者都强调上下文；旧版入口更显眼，现行版约束更真实",NO,"选择器显眼","上下文与能力投影一致","保留醒目的当前单位与当前赛事标识"
Admin,首次初始化,"未形成安全的一次性 Bootstrap 独立流程","存在 INITIALIZING 状态、一次性初始化与显示名/密钥输入",MODEL_EVOLUTION,"这是后续平台治理能力，不应作为旧版缺陷",YES,"无","初始化边界明确","初始化页保持一次性与安全提示"
Admin,租户管理,"统计卡、租户表、进入/停用操作齐全","技术工作区提供租户与主体治理入口",SAME,"核心任务一致，现行实现承担真实状态",NO,"信息密度高","状态来源真实","表格统计卡可作为信息层次参考"
Admin,组织目录,"学校为唯一运营主体、学院仅作归属标签，并明确原型先行","现行为独立组织实体与关系模型的目录/工作台",MODEL_EVOLUTION,"旧原型的二级标签假设已被现行 OrganizationRelation 模型取代",YES,"学校—学院路径易读","避免把展示层级等同权限模型","树形视觉可保留但不能恢复旧语义"
Admin,组织层级,"固定学校→学院两级展开表","主行政树、非行政关联、主父关系、有效期及历史时点",MODEL_EVOLUTION,"现行是带时间和关系类型的图模型",YES,"层级一眼可见","表达复杂真实关系","树视图只应作为关系模型的一个投影"
Admin,组织权限解释,"强调学院不参与权限判定、学校唯一授权层","明确“进树 ≠ 有权”，组织关系与授权分栏",MODEL_EVOLUTION,"权限与组织关系已解耦",YES,"规则文案集中","概念边界更准确","保留强提示语与分栏解释"
Admin,有效行政成员,"按所属学校汇总成员，学院仅显示归属人数","区分直接成员、有效成员、当前管理员与次级关系",MODEL_EVOLUTION,"Effective Administrative Membership 是后续模型能力",YES,"汇总数字直观","成员来源可解释","成员列表应持续展示来源"
Admin,EXACT/DESCENDANTS 范围,"无对应范围语义","以人类可读标签展示 EXACT/DESCENDANTS 作用域",MODEL_EVOLUTION,"旧版没有后续范围模型",YES,"无","范围语义明确","始终同时展示机器值与人类解释"
Admin,组织移动影响,"无版本化移动预览","移动前显示受影响组织、主体和后代授权数量，并保留历史",MODEL_EVOLUTION,"属于现行关系治理能力",YES,"无","风险可见且可追溯","影响预览是值得长期保留的模式"
Admin,成员与入组审批,"成员管理和入组审批各自有明确入口与待办数字","现行组织注册/成员工作台与投影组件覆盖对应任务",MIXED,"旧版待办可见性强；现行版模型与状态更完整",NO,"待办数量与队列入口醒目","状态与主体关系一致","队列入口可继续突出未处理数量"
Admin,身份角色与资格语言,"角色演示器可一键切换，并注明真实系统不存在一键换角色","技术目录和业务页使用主体、身份、角色、资格的受控语义",CURRENT_STRONGER,"现行避免把演示切换误认为授权操作",YES,"演示方便","身份与授权边界可信","演示器只可保留为明确隔离的演示资产"
Admin,赛事中心,"赛事列表、状态、统计卡、租户上下文和进入赛事入口完整","ActivityCore 与赛事工作区提供现行活动选择和状态",SAME,"核心入口及任务组织一致",NO,"列表信息密集","与现行活动状态联动","保留列表—进入工作区的短路径"
Admin,六步赛事构建器,"六步横向步骤条，字段帮助、保存和下一步清晰","CompetitionBuilder 实现公开信息、组别规则、资格、材料、阶段、预览发布六步",SAME,"步骤语义高度一致，说明旧原型理念已进入现行基线",NO,"步骤进度非常直观","真实版本/恢复/发布状态更可靠","步骤条与逐步解释值得保留"
Admin,构建器状态与恢复,"展示 EDITING、版本号、幂等/乐观锁说明，也含待后端支持字段","现行组件按真实状态、错误和恢复路径工作",CURRENT_STRONGER,"旧版能解释状态但仍是静态演示，现行状态来自实际流程",NO,"状态解释丰富","失败不会被伪装成成功","保留状态解释但以现行状态源为准"
Admin,组别与团队规则,"在构建器中集中配置个人/团队等规则","现行版本化 Team Policy 和规则组件",MODEL_EVOLUTION,"现行规则已从表单字段演进为版本化策略",YES,"表单连续性好","规则可追溯","可借鉴连续表单，不回退策略语义"
Admin,指导教师工作流,"在人类任务语境中展示教师/团队相关审批","现行 Advisor 投影和受控工作台",MODEL_EVOLUTION,"后续把指导教师作为独立投影能力",YES,"业务故事直观","职责和可见范围更明确","保持任务对象、责任人和下一步同屏"
Admin,报名审批,"待审核统计、审批队列和报名状态明显","现行报名工作台、组织审批与最终确认状态分离",MIXED,"旧版队列感更强；现行状态机更准确",NO,"批量浏览方便","不混淆审批与最终确认","继续突出状态差异和阻断原因"
Admin,材料提交与评审,"侧栏单入口整合材料、提交、评审","现行拆分 Submission、Artifact、Evaluation、AwardDecision",MODEL_EVOLUTION,"现行按领域责任拆分，旧版更像统一运营台",YES,"一个入口覆盖全流程","领域边界和状态更清楚","可在现行拆分之上提供跨域摘要，不合并领域模型"
Admin,现场运行与签到,"现场运行页集中展示签到、任务与状态","现行 Runtime、Attendance、Communication 分组件",MIXED,"旧版现场总览更紧凑；现行职责更清晰",NO,"现场态势集中","各能力状态独立","现场总览卡可作为跨组件视图参考"
Admin,资源预约,"预约入口、资源和时段以业务卡片呈现","现行 ResourceReservationPanel 承载真实预约任务",LEGACY_STRONGER,"旧版在单页中更容易理解资源—时段—操作关系",NO,"视觉路径短","数据与规则真实","参考资源卡和时段摘要，不复制静态成功逻辑"
Admin,CMS 与门户,"门户与 CMS 作为独立运营入口，含内容卡和预览语境","现行 CMS、频道、页面及预览能力",MIXED,"旧版更易浏览；现行具备受控内容模型与预览",NO,"内容运营感强","内容状态与预览链路完整","保留预览入口与发布状态并列"
Admin,费用运营,"费用仪表、订单、票据、退款入口集中","现行收费、开票、退费、线下凭证、红冲、对账及因果链工作台",CURRENT_STRONGER,"现行覆盖的业务状态、异常和追溯远超旧版静态仪表",YES,"总览数字醒目","失败语义和因果链完整","统计摘要可保留，不能弱化现行失败与审计信息"
