table,domain,component,comment,path,field_count,fields,primary_keys,foreign_keys,unique_keys,indexes
ai_action_explain_text,其他/插件扩展,core,Stores specific data about explain text actions.,public/lib/db/install.xml,8,id;prompt;responseid;fingerprint;generatedcontent;finishreason;prompttokens;completiontoken,id,,,
ai_action_generate_image,其他/插件扩展,core,Stores specific data about generate image actions,public/lib/db/install.xml,8,id;prompt;numberimages;quality;aspectratio;style;sourceurl;revisedprompt,id,,,
ai_action_generate_text,其他/插件扩展,core,Stores specific data about generate text actions.,public/lib/db/install.xml,8,id;prompt;responseid;fingerprint;generatedcontent;finishreason;prompttokens;completiontoken,id,,,
ai_action_register,其他/插件扩展,core,Stores information about processed ai actions.,public/lib/db/install.xml,12,id;actionname;actionid;success;userid;contextid;provider;errorcode;errormessage;timecreated;timecompleted;model,id,userid->user.id,,"U:actionname, actionid;I:actionname, provider"
ai_action_summarise_text,其他/插件扩展,core,Stores specific data about summarise text actions.,public/lib/db/install.xml,8,id;prompt;responseid;fingerprint;generatedcontent;finishreason;prompttokens;completiontoken,id,,,
ai_providers,其他/插件扩展,core,AI provider instances,public/lib/db/install.xml,6,id;name;provider;enabled;config;actionconfig,id,,,I:provider
backup_controllers,其他/插件扩展,core,To store the backup_controllers as they are used,public/lib/db/install.xml,17,id;backupid;operation;type;itemid;format;interactive;purpose;userid;status;execution;executiontime;checksum;timecreated;timemodified;progress;controller,id,userid->user.id,backupid,"I:type, itemid;I:userid, itemid"
backup_logs,其他/插件扩展,core,To store all the logs from backup and restore operations (by db logger),public/lib/db/install.xml,5,id;backupid;loglevel;message;timecreated,id,backupid->backup_controllers.backupid,,"U:backupid, id"
blog_association,其他/插件扩展,core,Associations of blog entries with courses and module instances,public/lib/db/install.xml,3,id;contextid;blogid,id,contextid->context.id;blogid->post.id,,
blog_external,其他/插件扩展,core,External blog links used for RSS copying of blog entries to Moodle user blogs,public/lib/db/install.xml,9,id;userid;name;description;url;filtertags;failedlastsync;timemodified;timefetched,id,userid->user.id,,
comments,其他/插件扩展,core,moodle comments module,public/lib/db/install.xml,9,id;contextid;component;commentarea;itemid;content;format;userid;timecreated,id,userid->user.id,,"I:contextid, commentarea, itemid"
communication,其他/插件扩展,core,Communication records,public/lib/db/install.xml,10,id;contextid;instanceid;component;instancetype;provider;roomname;avatarfilename;active;avatarsynced,id,contextid->context.id,,
communication_customlink,其他/插件扩展,communication_customlink,Stores the link associated with a custom link communication instance.,public/communication/provider/customlink/db/install.xml,3,id;commid;url,id,commid->communication.id,,
customfield_category,其他/插件扩展,core,core_customfield category table,public/lib/db/install.xml,12,id;name;description;descriptionformat;sortorder;timecreated;timemodified;component;area;itemid;contextid;shared,id,contextid->context.id,,"I:component, area, itemid, sortorder"
customfield_field,其他/插件扩展,core,core_customfield field table,public/lib/db/install.xml,11,id;shortname;name;type;description;descriptionformat;sortorder;categoryid;configdata;timecreated;timemodified,id,categoryid->customfield_category.id,,"I:categoryid, sortorder"
customfield_shared,其他/插件扩展,core,core_customfield shared category table,public/lib/db/install.xml,8,id;categoryid;component;area;itemid;usermodified;timecreated;timemodified,id,categoryid->customfield_category.id;usermodified->user.id,,"U:categoryid, component, area, itemid"
event,其他/插件扩展,core,For everything with a time associated to it,public/lib/db/install.xml,24,id;name;description;format;categoryid;courseid;groupid;userid;repeatid;component;modulename;instance;type;eventtype;timestart;timeduration;timesort;visible;uuid;sequence;timemodified;subscriptionid;priority;location,id,categoryid->course_categories.id;subscriptionid->event_subscriptions.id,,"I:courseid;I:userid;I:timestart;I:timeduration;I:uuid;I:type, timesort;I:groupid, courseid, categoryid, visible, userid;I:eventtype;I:component, eventtype, instance;I:modulename, instance, eventtype"
event_subscriptions,其他/插件扩展,core,Tracks subscriptions to remote calendars.,public/lib/db/install.xml,10,id;url;categoryid;courseid;groupid;userid;eventtype;pollinterval;lastupdated;name,id,courseid->course.id;userid->user.id,,
external_functions,其他/插件扩展,core,list of all external functions,public/lib/db/install.xml,8,id;name;classname;methodname;classpath;component;capabilities;services,id,,,U:name
external_services,其他/插件扩展,core,built in and custom external services,public/lib/db/install.xml,11,id;name;enabled;requiredcapability;restrictedusers;component;timecreated;timemodified;shortname;downloadfiles;uploadfiles,id,,,U:name
external_services_functions,其他/插件扩展,core,lists functions available in each service group,public/lib/db/install.xml,3,id;externalserviceid;functionname,id,externalserviceid->external_services.id,,
file_conversion,其他/插件扩展,core,Table to track file conversions.,public/lib/db/install.xml,11,id;usermodified;timecreated;timemodified;sourcefileid;targetformat;status;statusmessage;converter;destfileid;data,id,sourcefileid->files.id;destfileid->files.id;usermodified->user.id,,
filter_active,其他/插件扩展,core,Stores information about which filters are active in which contexts. Also the filter sort order. See get_active_filters in lib/filterlib.php for how this data is used.,public/lib/db/install.xml,5,id;filter;contextid;active;sortorder,id,contextid->context.id,,"U:contextid, filter"
grading_areas,其他/插件扩展,core,"Identifies gradable areas where advanced grading can happen. For each area, the current active plugin can be set.",public/lib/db/install.xml,5,id;contextid;component;areaname;activemethod,id,contextid->context.id,"contextid, component, areaname",
grading_definitions,其他/插件扩展,core,Contains the basic information about an advanced grading form defined in the given gradable area,public/lib/db/install.xml,14,id;areaid;method;name;description;descriptionformat;status;copiedfromid;timecreated;usercreated;timemodified;usermodified;timecopied;options,id,areaid->grading_areas.id;usermodified->user.id;usercreated->user.id,"areaid, method",
grading_instances,其他/插件扩展,core,Grading form instance is an assessment record for one gradable item assessed by one rater,public/lib/db/install.xml,9,id;definitionid;raterid;itemid;rawgrade;status;feedback;feedbackformat;timemodified,id,definitionid->grading_definitions.id;raterid->user.id,,
gradingform_guide_comments,其他/插件扩展,gradingform_guide,frequently used comments used in marking guide,public/grade/grading/form/guide/db/install.xml,5,id;definitionid;sortorder;description;descriptionformat,id,definitionid->grading_definitions.id,,
gradingform_guide_criteria,其他/插件扩展,gradingform_guide,Stores the rows of the criteria grid.,public/grade/grading/form/guide/db/install.xml,9,id;definitionid;sortorder;shortname;description;descriptionformat;descriptionmarkers;descriptionmarkersformat;maxscore,id,definitionid->grading_definitions.id,,
gradingform_guide_fillings,其他/插件扩展,gradingform_guide,Stores the data of how the guide is filled by a particular rater,public/grade/grading/form/guide/db/install.xml,6,id;instanceid;criterionid;remark;remarkformat;score,id,instanceid->grading_instances.id;criterionid->gradingform_guide_criteria.id,"instanceid, criterionid",
gradingform_rubric_criteria,其他/插件扩展,gradingform_rubric,Stores the rows of the rubric grid.,public/grade/grading/form/rubric/db/install.xml,5,id;definitionid;sortorder;description;descriptionformat,id,definitionid->grading_definitions.id,,
gradingform_rubric_fillings,其他/插件扩展,gradingform_rubric,Stores the data of how the rubric is filled by a particular rater,public/grade/grading/form/rubric/db/install.xml,6,id;instanceid;criterionid;levelid;remark;remarkformat,id,instanceid->grading_instances.id;criterionid->gradingform_rubric_criteria.id,"instanceid, criterionid",I:levelid
gradingform_rubric_levels,其他/插件扩展,gradingform_rubric,Stores the columns of the rubric grid.,public/grade/grading/form/rubric/db/install.xml,5,id;criterionid;score;definition;definitionformat,id,criterionid->gradingform_rubric_criteria.id,,
