semantic_scope,evidence_type,current_count_or_version,authoritative_path,how_to_use,known_limit
Root Model,Human-frozen ADR,ADR-ROOT-001 APPROVED HUMAN FROZEN,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/.ai/DECISION_LOG.md,先确定Subject Organization Tenant Membership Authorization的正式关系,历史ADR仍保留但SUPERSEDED部分不可再作为目标语义
Architecture Rules,Frozen rules,AR-001..AR-018,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/.ai/ARCHITECTURE_RULES.md,用于判断概念能否成为事实和谁能授权,AR-002与AR-017存在明确SUPERSEDED部分
Project State,Governance snapshot,updated 2026-08-28,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/.ai/PROJECT_STATE.md,用于理解历史闭环和Gate状态,Schema数字与当前2026-08-31 HEAD不一致
Schema baseline,Generated engineering dictionary,V2.40.700;72 migrations;429 tables;4508 columns,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/database/data-dictionary/schema-version.json,当前数据库规模与checksum基线,工程Schema Dictionary不是完整业务释义
Database tables,Exhaustive table inventory,429,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/database/data-dictionary/tables.csv,查表名 owner 列数和外键数,不能仅凭表名推断Fact Owner或授权
Database columns,Exhaustive column inventory,4508,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/database/data-dictionary/columns.csv,查字段类型可空性键和敏感级别,缺少每列业务定义时需回到Owner代码和Migration
Database relationships,Generated relation graph,429-table schema,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/database/data-dictionary/relationships.mmd,理解外键关系,外键关系不等于领域关系或授权关系
Backend modules,Module inventory,38,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/01-BACKEND-MODULE-INVENTORY.csv,查模块边界和分层实现,模块名不能替代Fact Owner判断
Bounded contexts,Cross-context dependency map,27 relations,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/02-BOUNDED-CONTEXT-MAP.csv,查跨域依赖方向和typed port,不是运行时调用次数统计
Capabilities,Capability catalog,48,/Users/wwang/Documents/ClaudeCode/deshi_competition_v2/docs/reference/backend-capability-api-v1.0/03-BACKEND-CAPABILITY-CATALOG.csv,从人的目标定位Owner Facts Commands Queries和消费者,成熟度不等于Production Release授权
