ID,Category,Severity,EvidenceLevel,Location,Finding,Impact,Recommendation
F-001,SECURITY,P1,CONFIRMED_BY_CODE,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CompetitionSceneOneCardVerifyController.java:25,现场“一证多权”存在 pilot confirm 路由,试点接口若在正式环境暴露，可能绕过正式核验入口、权限或审计策略。,将 pilot 路由纳入环境开关、权限注解和网关白名单审查；上线前确认是否下线。
F-002,SECURITY,P1,CONFIRMED_BY_CODE,old-code-admin/src/views/content/detailPage/index.vue:41,前端多处使用 v-html 渲染服务端内容,服务端或运营内容未统一净化时存在 XSS 风险。,只允许已净化字段进入 v-html；统一封装富文本组件并标记 sanitized 来源。
F-003,SECURITY,P1,CONFIRMED_BY_CODE,old-code-admin/src/components/Editor/index.vue:127,小程序和管理端保留大量 console.log,登录、手机号、扫码、证件等响应可能进入客户端调试日志。,上线构建移除 console；对敏感响应启用脱敏日志。
F-004,SECURITY,P1,STATIC_INFERENCE,old-code/teaching-modules/teaching-file/src/main/java/com/teaching/file/service/OSSFileServiceImpl.java:69,文件上传后端类型校验需要复核,前端限制可被绕过，若后端只依赖字典或前端扩展名，恶意文件可能入库/入 OSS。,在后端统一校验扩展名、MIME、大小和业务场景白名单；zip 新增时同步病毒/压缩炸弹策略。
F-005,DATA_CONSISTENCY,P1,CONFIRMED_BY_CODE,db/migration/20260701_competition_scene_resource_p1_001.sql:120,资源预约已存在 idempotency_key 唯一键但调用侧仍可能触发重复冲突,日志和迁移显示依赖唯一键兜底，用户侧可能收到数据库异常而非幂等成功响应。,先查幂等结果再插入，捕获唯一键冲突并返回既有预约；保留数据库唯一键。
F-006,TRANSACTION,P1,STATIC_INFERENCE,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/service/impl/UserCompetitionSceneResourceServiceImpl.java:706,资源预约涉及查重、容量扣减、预约插入、状态更新的复合事务,任何一步未在同一事务或条件更新中完成都会产生超卖、漏释放或幽灵预约。,为预约/取消梳理事务边界和条件更新；关键 Mapper 使用 affected rows 判定。
F-007,STATUS,P1,CONFIRMED_BY_CODE,old-code/teaching-common/teaching-common-core/src/main/java/com/teaching/common/core/constant/DictConstant.java:13,CANCELED/CANCELLED 枚举拼写并存,跨支付、预约、操作状态时容易出现状态无法匹配或统计漏算。,建立统一状态注册表；旧值映射为兼容枚举，新增代码只使用一个标准拼写。
F-008,ARCHITECTURE,P1,STATIC_INFERENCE,old-code/teaching-modules/teaching-competition,competition 模块承载赛事、报名、现场、资源、评审、支付协同逻辑,单模块过大导致跨域修改频繁、事务边界模糊、测试成本升高。,按“赛事报名/现场证件/资源预约/评审”拆分应用服务或包边界，先做接口隔离。
F-009,SQL,P1,STATIC_INFERENCE,old-code/teaching-modules/teaching-competition/src/main/resources/mapper/competition/CompetitionApplyInfoMapper.xml:233,Mapper XML 动态 SQL 需要逐项排查 ${} 注入面,${} 直接拼接在排序、字段或表名场景存在 SQL 注入风险。,所有 ${} 必须限定枚举白名单；能用 #{} 的全部改为 #{}。
F-010,TEST,P1,CONFIRMED_BY_CODE,old-code/teaching-modules/teaching-competition/src/test/java:1,测试集中在 competition 模块，认证/网关/文件/支付/前端覆盖不足,核心安全和文件交互链路缺少回归保障。,补充 auth、file、payment、gateway、frontend 关键路径测试；先覆盖 P1 风险。
