requirement_id,domain,title,evidence_level,description,acceptance,evidence
CV-ACC-001,账户与租户管理,租户账户层级管理,CONFIRMED_BY_CODE,机构管理员可以维护根账户、子账户、账户设置和账户关系，系统以 Account 作为课程、用户、工具和配置的租户边界。,账户、子账户、账户设置、统计、服务条款、账户日历等功能需要在账户上下文下工作。,"controller:AccountCalendarsApiController `canvas-lms-master/app/controllers/account_calendars_api_controller.rb:104` | controller:AccountNotificationsController `canvas-lms-master/app/controllers/account_notifications_controller.rb:83` | controller:SubAccountsController `canvas-lms-master/app/controllers/sub_accounts_controller.rb:23` | controller:DeveloperKeyAccountBindingsController `canvas-lms-master/app/controllers/developer_key_account_bindings_controller.rb:57` | route:get ""acceptable_use_policy"", to: ""accounts#acceptable_use_policy"" `canvas-lms-master/config/routes.rb:39` | route:resources :accounts do `canvas-lms-master/config/routes.rb:731` | route:get ""search"" => ""accounts#course_user_search"", :as => :course_user_search `canvas-lms-master/config/routes.rb:741` | route:post ""account_users"" => ""accounts#add_account_user"", :as => :add_account_user `canvas-lms-master/config/routes.rb:742` | model:AccountNotification `canvas-lms-master/app/models/account_notification.rb:20` | model:Account `canvas-lms-master/app/models/account.rb:21` | model:DeveloperKeyAccountBinding `canvas-lms-master/app/models/developer_key_account_binding.rb:21` | model:UserAccountAssociation `canvas-lms-master/app/models/user_account_association.rb:21`"
CV-ACC-002,账户与租户管理,角色与权限覆盖,CONFIRMED_BY_CODE,系统支持按账户配置角色、管理员、权限覆盖和用户账户关联。,管理员可授予/撤销账户管理员，调整角色权限，限制功能访问。,"controller:RoleOverridesController `canvas-lms-master/app/controllers/role_overrides_controller.rb:173` | controller:AdminsController `canvas-lms-master/app/controllers/admins_controller.rb:49` | controller:NamesAndRolesController `canvas-lms-master/app/controllers/lti/ims/names_and_roles_controller.rb:264` | route:resources :permissions, controller: :role_overrides, only: [:index, :create] do `canvas-lms-master/config/routes.rb:749` | route:post :add_role `canvas-lms-master/config/routes.rb:751` | route:delete :remove_role `canvas-lms-master/config/routes.rb:752` | route:resources :role_overrides, only: [:index, :create] do `canvas-lms-master/config/routes.rb:771` | model:AccountNotificationRole `canvas-lms-master/app/models/account_notification_role.rb:21` | model:AccountUser `canvas-lms-master/app/models/account_user.rb:21` | model:Role `canvas-lms-master/app/models/role.rb:21` | model:RoleOverride `canvas-lms-master/app/models/role_override.rb:21` | table:account_notification_roles `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:466`"
CV-ACC-003,账户与租户管理,认证方式与开发者密钥,CONFIRMED_BY_CODE,系统支持 Authentication Provider、OAuth、Developer Key、品牌配置和 CSP 安全设置。,外部登录、第三方客户端/API、品牌化和安全策略可按账户配置。,"controller:CspSettingsController `canvas-lms-master/app/controllers/csp_settings_controller.rb:27` | controller:BrandConfigsApiController `canvas-lms-master/app/controllers/brand_configs_api_controller.rb:21` | controller:AuthenticationProvidersController `canvas-lms-master/app/controllers/authentication_providers_controller.rb:233` | controller:DeveloperKeysController `canvas-lms-master/app/controllers/developer_keys_controller.rb:193` | route:get ""oauth/redirect_proxy"" => ""oauth_proxy#redirect_proxy"" `canvas-lms-master/config/routes.rb:50` | route:get ""oauth"" => ""users#oauth"" `canvas-lms-master/config/routes.rb:81` | route:get ""oauth_success"" => ""users#oauth_success"" `canvas-lms-master/config/routes.rb:82` | route:get ""login/oauth/callback"" => ""login/oauth#create"", :as => :oauth_login_callback `canvas-lms-master/config/routes.rb:966` | model:OAuthClientConfig `canvas-lms-master/app/models/oauth_client_config.rb:25` | model:DeveloperKeyAccountBinding `canvas-lms-master/app/models/developer_key_account_binding.rb:21` | model:SharedBrandConfig `canvas-lms-master/app/models/shared_brand_config.rb:20` | model:DeveloperKey `canvas-lms-master/app/models/developer_key.rb:23`"
CV-USR-001,用户、身份与沟通,用户身份与资料,CONFIRMED_BY_CODE,系统支持用户、登录身份 Pseudonym、个人资料、头像、通信渠道和用户搜索。,用户可维护资料，系统可按课程/账户上下文展示用户信息。,"controller:LmgbUserDetailsController `canvas-lms-master/app/controllers/lmgb_user_details_controller.rb:21` | controller:DiscussionTopicUsersController `canvas-lms-master/app/controllers/discussion_topic_users_controller.rb:19` | controller:UsersController `canvas-lms-master/app/controllers/users_controller.rb:82` | controller:CommunicationChannelsController `canvas-lms-master/app/controllers/communication_channels_controller.rb:89` | route:match ""register/:nonce"" => ""communication_channels#confirm"", :as => :registration_confirmation, :via => [:get, :post] `canvas-lms-master/config/routes.rb:71` | route:post ""confirmations/:user_id/re_send(/:id)"" => ""communication_channels#re_send_confirmation"", :as => :re_send_confirmation, :id => nil `canvas-lms-master/config/routes.rb:74` | route:get ""confirmations/:user_id/limit_reached(/:id)"" => ""communication_channels#confirmation_limit_reached"", :as => :confirmation_limit_reached, :id => nil `canvas-lms-master/config/routes.rb:75` | route:get ""media_download"" => ""users#media_download"" `canvas-lms-master/config/routes.rb:144` | model:UserPastLtiId `canvas-lms-master/app/models/user_past_lti_id.rb:45` | model:UserProfile `canvas-lms-master/app/models/user_profile.rb:21` | model:UserMergeData `canvas-lms-master/app/models/user_merge_data.rb:20` | model:UserMergeDataRecord `canvas-lms-master/app/models/user_merge_data_record.rb:20`"
CV-USR-002,用户、身份与沟通,站内消息与会话,CONFIRMED_BY_CODE,系统支持 conversations、conversation messages、收件箱、未读/星标/归档等消息视图。,用户可发送、回复、归档、标记消息，系统保存参与者与消息记录。,"controller:ConversationsController `canvas-lms-master/app/controllers/conversations_controller.rb:153` | controller:AiConversationsController `canvas-lms-master/app/controllers/ai_conversations_controller.rb:23` | route:get ""inbox"" => ""context#inbox"" `canvas-lms-master/config/routes.rb:49` | route:get ""conversations/unread"" => ""conversations#index"", :as => :conversations_unread, :redirect_scope => ""unread"" `canvas-lms-master/config/routes.rb:52` | route:get ""conversations/starred"" => ""conversations#index"", :as => :conversations_starred, :redirect_scope => ""starred"" `canvas-lms-master/config/routes.rb:53` | route:get ""conversations/sent"" => ""conversations#index"", :as => :conversations_sent, :redirect_scope => ""sent"" `canvas-lms-master/config/routes.rb:54` | model:ConversationMessageParticipant `canvas-lms-master/app/models/conversation_message_participant.rb:21` | model:AiConversation `canvas-lms-master/app/models/ai_conversation.rb:20` | model:Conversation `canvas-lms-master/app/models/conversation.rb:21` | model:ConversationMessage `canvas-lms-master/app/models/conversation_message.rb:21` | table:ai_conversations `canvas-lms-master/db/migrate/20251014000001_create_ai_conversations.rb:24` | table:conversations `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:1720`"
CV-USR-003,用户、身份与沟通,通知偏好与通信渠道,CONFIRMED_BY_CODE,系统支持通知偏好、邮件/通信渠道确认、通知记录和反弹处理。,用户可配置不同事件的通知方式，系统按渠道投递。,"controller:CommMessagesApiController `canvas-lms-master/app/controllers/comm_messages_api_controller.rb:101` | controller:NotificationPreferencesController `canvas-lms-master/app/controllers/notification_preferences_controller.rb:60` | controller:CommunicationChannelsController `canvas-lms-master/app/controllers/communication_channels_controller.rb:89` | route:match ""register/:nonce"" => ""communication_channels#confirm"", :as => :registration_confirmation, :via => [:get, :post] `canvas-lms-master/config/routes.rb:71` | route:post ""confirmations/:user_id/re_send(/:id)"" => ""communication_channels#re_send_confirmation"", :as => :re_send_confirmation, :id => nil `canvas-lms-master/config/routes.rb:74` | route:get ""confirmations/:user_id/limit_reached(/:id)"" => ""communication_channels#confirmation_limit_reached"", :as => :confirmation_limit_reached, :id => nil `canvas-lms-master/config/routes.rb:75` | route:resources :communication_channels `canvas-lms-master/config/routes.rb:1074` | model:ConversationMessageParticipant `canvas-lms-master/app/models/conversation_message_participant.rb:21` | model:UserPastLtiId `canvas-lms-master/app/models/user_past_lti_id.rb:45` | model:UserProfile `canvas-lms-master/app/models/user_profile.rb:21` | model:UserMergeData `canvas-lms-master/app/models/user_merge_data.rb:20` | table:communication_channels `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:1383`"
CV-CRS-001,课程、班级与选课,课程生命周期管理,CONFIRMED_BY_CODE,系统支持课程创建、设置、发布/归档、统计、课程导航、课程昵称和课程报表。,课程是教学内容、用户、作业、评分、文件和讨论的主要上下文。,"controller:CourseNicknamesController `canvas-lms-master/app/controllers/course_nicknames_controller.rb:54` | controller:CoursesController `canvas-lms-master/app/controllers/courses_controller.rb:350` | controller:CourseTagConversionController `canvas-lms-master/app/controllers/course_tag_conversion_controller.rb:20` | controller:CourseReportsController `canvas-lms-master/app/controllers/course_reports_controller.rb:84` | route:resources :courses do `canvas-lms-master/config/routes.rb:199` | route:get ""self_enrollment/:self_enrollment"" => ""courses#self_enrollment"", :as => :self_enrollment `canvas-lms-master/config/routes.rb:201` | route:post ""self_unenrollment/:self_unenrollment"" => ""courses#self_unenrollment"", :as => :self_unenrollment `canvas-lms-master/config/routes.rb:202` | route:post ""move_enrollment/:id"" => ""courses#move_enrollment"", :as => :move_enrollment `canvas-lms-master/config/routes.rb:212` | model:CourseSection `canvas-lms-master/app/models/course_section.rb:21` | model:CourseProgress `canvas-lms-master/app/models/course_progress.rb:21` | model:CourseReport `canvas-lms-master/app/models/course_report.rb:21` | model:CourseScoreStatistic `canvas-lms-master/app/models/course_score_statistic.rb:21`"
CV-CRS-002,课程、班级与选课,班级与选课管理,CONFIRMED_BY_CODE,系统支持 Section、Enrollment、教师/学生/设计者/观察者等选课类型和跨班级操作。,管理员或教师可添加、移动、结束、恢复用户选课。,"controller:SelfEnrollmentsController `canvas-lms-master/app/controllers/self_enrollments_controller.rb:21` | controller:SectionsController `canvas-lms-master/app/controllers/sections_controller.rb:95` | controller:EnrollmentsApiController `canvas-lms-master/app/controllers/enrollments_api_controller.rb:327` | controller:TemporaryEnrollmentPairingsApiController `canvas-lms-master/app/controllers/temporary_enrollment_pairings_api_controller.rb:41` | route:get ""self_enrollment/:self_enrollment"" => ""courses#self_enrollment"", :as => :self_enrollment `canvas-lms-master/config/routes.rb:201` | route:post ""self_unenrollment/:self_unenrollment"" => ""courses#self_unenrollment"", :as => :self_unenrollment `canvas-lms-master/config/routes.rb:202` | route:post :enrollment_invitation `canvas-lms-master/config/routes.rb:206` | route:post ""move_enrollment/:id"" => ""courses#move_enrollment"", :as => :move_enrollment `canvas-lms-master/config/routes.rb:212` | model:CourseSection `canvas-lms-master/app/models/course_section.rb:21` | model:EnrollmentTerm `canvas-lms-master/app/models/enrollment_term.rb:21` | model:TeacherEnrollment `canvas-lms-master/app/models/teacher_enrollment.rb:21` | model:StudentViewEnrollment `canvas-lms-master/app/models/student_view_enrollment.rb:21`"
CV-CRS-003,课程、班级与选课,学期与评分周期,CONFIRMED_BY_CODE,系统支持 EnrollmentTerm、GradingPeriod、GradingPeriodSet，影响课程可见性和成绩归档。,课程和成绩计算需要绑定学期与评分周期。,"controller:GradingPeriodSetsController `canvas-lms-master/app/controllers/grading_period_sets_controller.rb:46` | controller:GradingPeriodsController `canvas-lms-master/app/controllers/grading_periods_controller.rb:70` | route:scope(controller: :grading_periods) do `canvas-lms-master/config/routes.rb:2705` | route:get ""courses/:course_id/grading_periods"", action: :index, as: :course_grading_periods `canvas-lms-master/config/routes.rb:2709` | route:get ""courses/:course_id/grading_periods/:id"", action: :show, as: :course_grading_period `canvas-lms-master/config/routes.rb:2710` | route:patch ""courses/:course_id/grading_periods/batch_update"", `canvas-lms-master/config/routes.rb:2711` | model:EnrollmentTerm `canvas-lms-master/app/models/enrollment_term.rb:21` | model:GradingPeriod `canvas-lms-master/app/models/grading_period.rb:21` | model:GradingPeriodGroup `canvas-lms-master/app/models/grading_period_group.rb:21` | table:grading_periods `canvas-lms-master/db/migrate/20101210192618_init_canvas_db.rb:2672` | frontend_feature:ui/features/acceptable_use_policy `canvas-lms-master/ui/features/acceptable_use_policy:1` | frontend_feature:ui/features/all_courses `canvas-lms-master/ui/features/all_courses:1`"
CV-ASG-001,作业、提交与评分,作业与作业组管理,CONFIRMED_BY_CODE,教师可创建、编辑、发布作业和作业组，设置截止时间、提交方式、评分规则和差异化分配。,作业属于课程，可关联评分簿、提交、Rubric、LTI、新测验等。,"controller:AssignmentOverridesController `canvas-lms-master/app/controllers/assignment_overrides_controller.rb:113` | controller:AssignmentsController `canvas-lms-master/app/controllers/assignments_controller.rb:22` | controller:AssignmentGroupsController `canvas-lms-master/app/controllers/assignment_groups_controller.rb:96` | controller:AssignmentExtensionsController `canvas-lms-master/app/controllers/assignment_extensions_controller.rb:51` | route:get ""submissions_upload/:assignment_id"" => ""gradebooks#show_submissions_upload"", :as => :show_submissions_upload `canvas-lms-master/config/routes.rb:235` | route:post ""submissions_upload/:assignment_id"" => ""gradebooks#submissions_zip_upload"", :as => :submissions_upload `canvas-lms-master/config/routes.rb:236` | route:post ""save_assignment_order"" => ""gradebooks#save_assignment_order"", :as => :save_assignment_order `canvas-lms-master/config/routes.rb:265` | route:resources :assignments do `canvas-lms-master/config/routes.rb:270` | model:AssignmentGroup `canvas-lms-master/app/models/assignment_group.rb:21` | model:AssignmentOverrideStudent `canvas-lms-master/app/models/assignment_override_student.rb:21` | model:Assignment `canvas-lms-master/app/models/assignment.rb:21` | model:AssignmentEmbedding `canvas-lms-master/app/models/assignment_embedding.rb:19`"
