"dataset_id","class","priority","canonical_dataset","canonical_grain","source_tables","source_scale_20260901","canonical_count_or_rule","deduplication_key","authoritative_semantics","v2_target","automatic_commit","blocking_gate"
"A01","RUN_MODEL","P0","Account claim and login continuity","one V1 account claim, separated from natural person","sys_user; sys_user_role; sys_user_post","65369 users; 54362 role links; 1 post link","65037 explicitly active accounts are candidates; deleted accounts archive only","source namespace + sys_user.user_id; username and phone are conflict checks, not merge keys","Account is a login/claim anchor, not a person; do not migrate password, token, session, login IP, or grant old roles automatically","account; account_subject_relation; authentication_phone_identity or current authentication factor model","CONDITIONAL","unique active account decision; verified channel claim; target authentication baseline frozen"
"A02","RUN_MODEL","P0","Subject, profile, and identity evidence","one natural person Subject plus versioned evidence","sys_user; auth_info; identity_info; teacher_tmp_info; competition_apply_info person snapshots","65369 users; 60834 real-name records; 59157 identity records; 1247 teacher import rows; 60502 applications without user_id","final Subject count is intentionally UNKNOWN until conflicts are adjudicated; prior governed cohort classified 59394 strong candidates, 4931 ambiguous, 1044 contradictory","approved unique legal-identifier fingerprint is strongest; source user_id only anchors one V1 account; phone/email/name/school never independently merge Subjects","Separate current profile from historical registration snapshots and verification evidence; create unclaimed Subjects for valuable history without an account","subject; subject_profile; subject_contact_point; business_identity; identity_verification or current natural-identity verification model","CONDITIONAL","PII fingerprinting; 582 repeated raw identifier groups; 526 cross-user identifier groups; human merge decisions"
"A03","RUN_MODEL","P0","Organization directory and historical membership","one typed organization and one subject-organization relationship interval","sys_org; nationwide_college_info; identity_info; sys_user school snapshot; school_specialty_info; sponsoring_enterprise_info","7 system organizations; 2941 colleges; 58182 approved student/teacher relationships; 852 specialties; 2 enterprises","organization count after typed-namespace resolution; 58182 relationships remain historical until lifecycle is proven","source namespace + source organization id; standard organization code where proven; never merge on numeric id or name alone","Organization, membership, qualification, and authorization are four different facts; identity labels do not grant V2 permissions","platform_organization or organization; organization_membership; organization_member_profile","CONDITIONAL","tenant decision; organization namespace collision review; effective-time and current-validity decision"
"A04","RUN_MODEL","P0","Competition activity, edition, category, and policy","one versioned activity/edition/policy fact","competition_main_info; competition_series_info; competition_stage_config; competition_track_info; competition_track_config; competition_config; competition_check_data_package; competition_check_info","17 competitions; 17 series; 11 stages; 36 tracks; 124 track configs; 111 competition configs; 3 packages; 4 checks","retain all business versions; do not manufacture a global Stage/Track entity when the source is only edition configuration","typed source table + source primary key + effective version","Series is normally the registrable activity edition; stage/track/config rows are composition, participant category, or policy-version evidence","activity; activity_composition; activity_participant_category; competition_publication; registration policy and requirement versions","CONDITIONAL","tenant/organizer mapping; policy semantics and effective version frozen"
"A05","RUN_MODEL","P0","Registration case, revision, group, member, and guiding teacher","one registration case with immutable revisions and member snapshots","competition_apply_info; team_manager_info; team_member_rela; change_log","130507 application-member rows; 34084 teams; 129937 team relations; 7421 changes","28956 active/withdrawn team cases containing 109785 member snapshots; deleted rows remain archive evidence","team_code within source series for case; source member_id for revision member; team_code + resolved Subject + role for semantic duplicate checks","Application row is a submitted member snapshot; team tables are group/current relationship; neither replaces the other","activity_registration; competition_registration_case; competition_registration_revision; revision_member; revision_teacher; activity_group; activity_group_member","CONDITIONAL","49407 active/withdrawn rows lack user_id; 12 application teams lack an active/withdrawn team master; approval and subject decisions"
"A06","RUN_MODEL","P0","Advancement, finalization, participation, and advisor history","one domain decision or participation interval","competition_promoted_info; competition_promoted_apply_info; approved registration evidence; payment evidence","4 advancement configs; 8739 advancement applications","no Participation is auto-created from registration or pay_status alone","source decision primary key; child activity + registration case; resolved Subject and effective time","Advancement is a new domain decision/child registration, not a qualification label; Participation requires explicit finalization evidence","registration_finalization; activity_participation; child activity registration; guiding-teacher relationship","HOLD","approval, organization, payment, and activity mapping must jointly reconcile"
"A07","RUN_MODEL","P0","Formal file, artifact, submission, and version","one binary File Object and one business Artifact Version reference","file_task; file_upload_manager; file_upload_record; review_processed_relation; content_file","21 tasks; 1989 manager rows; 6896 upload-history rows; 686 processed derivatives; 52 content files","database rows are metadata only; final File Object count is UNKNOWN until binaries are fetched and hashed","binary SHA-256 + size + MIME for File Object; source record and business purpose for Artifact Version","One binary can be deduplicated while multiple semantic artifacts/versions still reference it; URL is retrieval input, not evidence","file_object; artifact; artifact_version; file_derivative; activity_submission requirement/revision/artifact links","HOLD","object-store manifest; successful download; malware scan; MIME/size/hash; owner and privacy mapping"
"A08","ARCHIVE_ONLY","P2","Evaluation and grade source archive","one immutable source row plus archive manifest entry","review_task_info; review_task_specialist_relation; review_processed_relation; review_record; review_expert_review_notes; user_grade_info","686 tasks; 1376 reviewer links; 686 processed files; 689 review rows; 72 notes; 2 grade rows","683 review rows are read/progress markers and zero rows contain score, grade, comment, recommendation, or submitted_time; 2 grade rows remain candidates only","source table + source primary key + archive checksum","Per user decision, neither the 689 review rows nor the 2 grade candidates enters V2 in this migration; no scored result is inferred","encrypted read-only archive only; no V2 Evaluation or Grade runtime target","NO","retention policy and archive checksum; any future import requires a separately approved scoring/publication gate"
"A09","RUN_MODEL","P1","Award decision and recipient","one published decision version and one recipient row","award_publicity; award_details; team/registration lineage","1 publicity header; 12940 award detail rows","12940 distinct team recipients; all match a team; 12936 have a team+award match in certificate history","publicity version + source award row; recipient resolved through registration/group membership","Award is a decision/entitlement source, not the certificate file itself; one header without independent publication proof is insufficient for auto-issue","competition award decision/version/recipient/publication receipt; credential_entitlement_source_event","HOLD","publication proof; recipient Subject lineage; 4 award rows without certificate match"
"A10","RUN_MODEL","P1","Credential code ledger and recipient binding","one certificate-code fact plus zero-to-many recipient bindings","user_certificate_history; user_certificate_origin; cert_config_info; cert_org_info","139061 history rows; 34721 origin bindings; 16 configs; 1 issuer row","139049 distinct certificate codes after 12 duplicate-code groups; 34721 unique code+user bindings covering 31748 codes; 107301 codes are unclaimed","certificate code for source certificate fact; certificate code + resolved Subject for recipient binding; preserve source-row lineage","History is the public certificate ledger; origin is the logged-in-user binding subset; do not add both tables as separate certificates","credential_entitlement_source_event; credential_entitlement; credential_issue; lifecycle event; certificate Artifact Version","HOLD","source decision; status semantics; issuer authority; Subject resolution; official binary; duplicate-code review"
