layer,canonical_term,chinese_meaning,canonical_owner,db_or_state_evidence,code_or_api_evidence,human_facing_term,not_equal_to,status,note
Root Model,Account,登录入口,Platform Core,account,Account;AccountRepository;PlatformCoreController,登录账号,Subject;人员;权限主体,CURRENT,一个Subject可有0到多个Account；Account第一阶段只关联一个Subject
Root Model,Subject,统一稳定主体,Platform Core,subject,Subject;AuthorizationPrincipal;currentSubject,我的身份/人员,Account;User;Identity,CURRENT,授权和人员业务关系的唯一主体
Root Model,AccountSubjectRelation,账号与主体的受控绑定,Platform Core,account_subject_relation,AccountSubjectRelation;bindAccount,账号绑定,账号合并,CURRENT,绑定必须受控可审计；不允许自动复杂Merge
Root Model,Identity,识别或认证证据,Platform Core/Authentication,business_identity;authentication_phone_identity,IdentityView;PlatformIdentityService,身份信息,Subject;RoleAssignment;Membership,COMPATIBILITY,不得作为新业务principal；部分历史actor字段保留证据
Root Model,BusinessIdentity,历史业务身份兼容对象,Platform Core,business_identity,PlatformIdentityService,历史工作身份,Subject授权主体,LEGACY_COMPAT,按bounded context分阶段退役；新功能不得依赖其授权
Root Model,AuthenticationSession,已认证会话运行事实,Authentication,Redis session namespace,AuthenticationController;MeController,登录状态,Account;Subject;Authorization,CURRENT_RUNTIME,Session只引用Account/Subject及工作上下文摘要
Root Model,WorkingContext,用户当前导航与工作范围,Authentication/Presentation,Redis session digest,switchWorkingContext;human-presentation.ts,当前工作范围,授权依据;Fact Owner,CURRENT_PRESENTATION,切换工作单位不自动获得权限
Root Model,Tenant,租户及Tenant-owned事实隔离维度,Platform Core,tenant,PlatformCoreCapability;ResourceAuthorizationContext,管理中心/租户,Organization;Scope,CURRENT,Tenant事实所有权与授权Scope是两回事
Root Model,Organization,平台拥有的现实组织,Platform Core,platform_organization,PlatformOrganizationReadCapability;OrganizationHierarchyPanel,单位/组织,Tenant子对象;OrganizationUnit,CURRENT_CANONICAL,跨Tenant访问默认拒绝但Organization本身不是Tenant子对象
Root Model,OrganizationMembership,Subject与Organization的现实关系,Platform Core,platform_organization_membership,OrganizationMembershipSummary;listEffectiveOrganizationMemberships,所属单位,RoleAssignment;Qualification,CURRENT,Membership不产生权限
Root Model,Direct Membership,直接写入的成员关系,Platform Core,platform_organization_membership,Membership query,直接所属单位,Effective Membership,CURRENT,是正式Membership记录
Root Model,Effective Membership,从主行政树向上投影的有效关系,Platform Core,derived from membership+relation,listEffectiveOrganizationMemberships,上级归属/继承可见关系,新的Membership记录,CURRENT_DERIVED,只读派生；不得回写成第二套成员事实
Root Model,OrganizationRelation,组织间类型化时间关系,Platform Core,platform_organization_relation,OrganizationRelationType;OrganizationHierarchyPolicy,行政隶属/关联关系,权限;Membership;OrganizationUnit,CURRENT,主行政树只是关系图的一种投影
Root Model,Primary Administrative Tree,主行政关系投影,Platform Core,platform_organization_relation primary flag,OrganizationHierarchyPanel,主要行政树,完整组织图;权限树,CURRENT_DERIVED,一组织同一时点最多一个主要行政父关系
Root Model,OrganizationScopeMode,组织授权向下范围模式,Platform Core,subject_role_assignment scope,OrganizationScopeMode,仅本组织/含下级,Membership继承,CURRENT,EXACT与DESCENDANTS必须由RoleAssignment明确选择
Root Model,OrganizationUnit,未采用的万能组织单元概念,NONE,NONE,NONE,无,Organization,FORBIDDEN,现行以PlatformOrganization+typed relation表达
Root Model,RoleDefinition,角色定义目录,Platform Core,role_definition;platform_role_definition,RoleDefinition API,职责类型,RoleAssignment;Permission,CURRENT,Definition不表示某个Subject已获角色
Root Model,Permission,可执行的原子能力,Platform Core,permission_catalog;role_permission,authorizeV2;PermissionBoundary,可执行操作,页面入口;Persona,CURRENT,业务模块不得动态复制Permission事实
Root Model,RoleAssignment,Subject在明确Scope内承担角色的事实,Platform Core,subject_role_assignment,AuthorizationPrincipal;assignRole;revokeAssignment,我的职责,Identity;Membership;Qualification,CURRENT,holder必须是Subject
Root Model,Scope,RoleAssignment的生效范围,Platform Core,subject_role_assignment_scope,ResourceAuthorizationContext,生效范围,Tenant事实所有权,CURRENT,可独立约束Tenant Organization Activity
Root Model,ResourceAuthorizationContext,Owner解析出的多维资源授权上下文,Platform Core,NONE value object,ResourceAuthorizationContext,资源范围,通用Context表,CURRENT,可组合tenantId organizationId activityId且类型封闭
Root Model,AuthorizationContext,旧单维授权上下文值对象,Platform Core,NONE value object,AuthorizationContext,历史上下文,ResourceAuthorizationContext,COMPATIBILITY,AR-002相关目标已被AR-018替代；不要用于新增多维授权设计
Root Model,AuthorizationPrincipal,授权引擎入口的Subject principal,Platform Core,NONE value object,AuthorizationPrincipal,当前人员,Identity;Account,CURRENT,只允许正数subjectId
Root Model,QualificationDefinitionVersion,资格定义的不可变发布版本,Qualification,qualification_definition;qualification_definition_version,QualificationCapability,资格标准,QualificationAssertion,CURRENT,Platform canonical definition
Root Model,QualificationAssertion,Issuer对Subject资格的时间化断言,Qualification,qualification_assertion;qualification_assertion_event,listMyQualificationAssertions,已核验资格,Role;Membership;Credential,CURRENT,不直接授权；有效状态包含时态语义
Activity,Activity,租户内可运行的活动上下文锚点,Activity,activity,ActivityCoreApplicationService;ActivityCoreController,活动/赛事运行空间,Competition;Edition,CURRENT,Activity Composition父子双方均为Activity
Activity,ActivityComposition,Activity之间的树形组成关系,Activity,activity_composition,ActivityCompositionPolicy;addComposition,活动组成,Flow;Stage,CURRENT,Composition描述结构而非业务过程
Activity,ActivityFlow,活动内纵向业务过程,Activity,activity_flow,createFlow;flows,流程,Composition;RuntimeSession,CURRENT,不创建Event Stage Round Track等重叠核心对象
Activity,FlowNode,Flow中的定义节点,Activity,activity_flow_node,createFlowNode;resolveFlowNode,流程节点,RuntimeSession,CURRENT,一个FlowNode可对应多个RuntimeSession
Activity,Group,活动内参与者组合,Activity,activity_group;activity_group_member,createGroup;addGroupMember,团队/小组,Organization;Participation,CURRENT,Group不是组织也不是授权主体
Activity,ParticipantCategory,活动报名参与类别,Activity,activity_participant_category,createParticipantCategory,参赛组别,Track;Organization,CURRENT,不得无证据把Category提升为Track
Activity,Registration,申请参加赛事的案件,Competition,competition_registration_case,CompetitionRegistrationApplicationService;CompetitionRegistrationController,报名申请,Participation,CURRENT,FINALIZED后才可形成正式Participation
Activity,RegistrationRevision,报名材料和人员的版本化修订,Competition,competition_registration_revision,openRevision;submit,报名版本,直接改写历史报名,CURRENT,退回补正创建新Revision
Activity,RegistrationApproval,组织对报名的审批事实,Competition,registration_organization_approval_case;decision,decideApproval,单位审核,最终参赛确认,CURRENT,审批通过仍不必然等于FINALIZED
Activity,Participation,正式参赛事实,Activity,activity_participation,confirmParticipation;ParticipationEntitlementCapability,正式参赛关系,Registration;Group,CURRENT,下游正式能力应引用Participation
Activity,EntitlementRevision,Participation成员和资格的版本化权利快照,Activity,activity_participation_entitlement_revision,ParticipationEntitlementApplicationService,参赛成员版本,Membership;RoleAssignment,CURRENT,withdraw disqualify replace产生新revision
Competition,Competition,跨届赛事逻辑身份,Competition,competition governance tables,CompetitionCanonicalCapability,赛事,Activity;Edition,CURRENT,长期赛事身份由governance contract解释
Competition,CompetitionEdition,一届赛事的运行实例,Competition,competition_edition;competition_edition_activity_binding,CompetitionGovernanceApplicationService,本届赛事,Competition;Activity,CURRENT,一届通过PRIMARY binding关联Activity
Competition,CompetitionDefinitionVersion,一届赛事配置的不可变定义版本,Competition,competition_definition_version,validate;analyzeImpact;publish,赛事规则版本,当前草稿表单,CURRENT,PUBLISHED不可原地改语义
Competition,ImpactAnalysis,定义版本变化对现有报名/参赛的有界影响分析,Competition,competition_version_impact_analysis;item,analyze-impact,影响分析,自动迁移决定,CURRENT,UNKNOWN必须保留证据不足
Competition,ImpactPolicyDecision,Human选择的版本治理策略,Competition,competition_version_impact_policy_decision,choose-policy,处理策略,事实自动重写,CURRENT,策略不能越权修改其他Owner事实
Competition,TeamPolicy,团队形成规则的版本化策略,Competition,registration_policy_version,CompetitionProductApplicationService,组队规则,Group当前成员,CURRENT,策略与运行Group事实分离
Competition,AwardDecision,赛事Owner发布的正式获奖决定,Competition,competition_award_decision;version;recipient,CompetitionAwardApplicationService,获奖结果,EvaluationResult;Credential,CURRENT,Evaluation只是证据；Award发布版本append-only
Submission,SubmissionRequirement,活动要求提交什么,Submission,activity_submission_requirement,ActivitySubmissionController,提交要求,Artifact,CURRENT,Requirement与实际Submission分离
Submission,SubmissionRevision,一次正式提交的不可变修订,Submission,activity_submission_revision,submit;openRevision,提交版本,ArtifactVersion,CURRENT,正式提交冻结精确Artifact Version
Artifact,Artifact,业务数字材料的逻辑对象,Artifact,artifact,ArtifactFileController,材料,FileObject;URL,CURRENT,一个Artifact可有多个Version
Artifact,ArtifactVersion,材料的不可变内容版本,Artifact,artifact_version,ArtifactFileApplicationService,材料版本,可覆盖文件,CURRENT,替换必须创建新版本
Artifact,FileObject,底层文件对象与存储引用,Artifact,file_object,ArtifactFile capability,文件,Artifact;永久URL,CURRENT,业务表不得保存永久File URL
Artifact,FileDerivative,预览缩略图等派生文件,Artifact,file_derivative,preview conversion,预览文件,ArtifactVersion,CURRENT,不能替代原始正式版本
Runtime,RuntimeSession,现实中的一次执行单元,Runtime,runtime_session,ActivityRuntimeApplicationService;ActivityRuntimeController,现场场次,FlowNode;Event,CURRENT,与FlowNode是N:M
Runtime,RuntimeAssignment,执行单元指派给受控目标的事实,Runtime,runtime_session_assignment,assign,现场任务分配,万能target,CURRENT,目标只允许Participation Subject EvaluationTarget
Runtime,RuntimeFocus,当前执行焦点事实,Runtime,runtime_focus,changeFocus,当前环节,RuntimeEvent,CURRENT,不能从Event反推Focus
Runtime,RuntimeEvent,执行历史事件,Runtime,runtime_event,event,现场历史,RuntimeFocus,CURRENT_APPEND_ONLY,只记录历史不反向成为当前事实
Attendance,AttendancePlan,到场规则计划,Attendance,attendance_plan,AttendanceController,签到计划,AttendanceRecord,CURRENT,定义谁何时需要到场
Attendance,AttendanceExecution,一次签到执行窗口,Attendance,attendance_execution,createExecution;issueChallenge,签到场次,RuntimeSession,CURRENT,Challenge只是短时执行证明
Attendance,AttendanceRecord,Subject当前到场事实,Attendance,attendance_record,recordArrival;selfCheckIn,到场记录,AttendanceEvent;团队到齐,CURRENT,只记录Subject到场
Attendance,AttendanceEvent,到场操作历史,Attendance,attendance_event,events,签到历史,AttendanceRecord,CURRENT_APPEND_ONLY,团队到齐由Subject Record聚合
Evaluation,EvaluationPlan,评审计划,Evaluation,evaluation_plan,EvaluationApplicationService,评审安排,Flow;Result,CURRENT,可与FlowNode和Runtime关联
Evaluation,EvaluationTarget,被评审对象的受控引用,Evaluation,evaluation_target,createTarget,评审对象,万能target,CURRENT,目标类型必须封闭
Evaluation,EvaluationTask,分配给reviewer Subject的任务,Evaluation,evaluation_task,assignEvaluationTask,评审任务,RoleAssignment;Result,CURRENT,可见任务仍需服务端授权
Evaluation,EvaluationRecord,评审者提交的正式记录,Evaluation,evaluation_record;score,submitEvaluation,评分记录,EvaluationResult;Award,CURRENT,正式输入冻结Revision/ArtifactVersion
Evaluation,EvaluationResult,Evaluation Owner解释出的评审结果,Evaluation,evaluation_result,EvaluationController,评审结果,AwardDecision,CURRENT,不能直接成为获奖事实
Resource,Resource,可预约资源定义,Resource Reservation,resource_allocation;related resource tables,ResourceReservationController,场地/设备/资源,Reservation,CURRENT,Owner定义资源和容量
Resource,AvailabilitySlot,可预约时段,Resource Reservation,availability_slot,listOffers,可预约时间,Reservation,CURRENT,时段可用不代表已预订
Resource,Reservation,Subject或Participation的预约事实,Resource Reservation,reservation,createReservation;cancel,预约记录,RuntimeAssignment,CURRENT,并发容量由数据库/ledger保护
Credential,CredentialDefinitionVersion,凭证类型的不可变定义版本,Credential,credential_definition_version,CredentialGovernanceController,凭证标准,CredentialIssue,CURRENT,Definition不是Program
Credential,CredentialIssuerAuthorityVersion,组织作为签发权威的版本化资格,Credential,credential_issuer_authority_version,CredentialEcosystemController,签发机构授权,Organization本身,CURRENT,Organization不天然等于Issuer Authority
Credential,CredentialProgramVersion,具体凭证项目的版本,Credential,credential_program_version,CredentialEcosystemController,凭证项目,CredentialDefinitionVersion,CURRENT,Program可引用定义但不拥有定义
Credential,IssuanceEntitlement,可签发凭证的受控资格,Credential,credential_issuance_entitlement,issue eligibility check,签发资格,Payment success;Qualification,CURRENT_OPTIONAL,仍需最终重检
